cell,r_center_cm,phi_0
481,9.63000000e+00,3.89694588e+00
482,9.65000000e+00,3.90041559e+00
483,9.67000000e+00,3.90389676e+00
484,9.69000000e+00,3.90738987e+00
485,9.71000000e+00,3.91089556e+00
486,9.73000000e+00,3.91441477e+00
487,9.75000000e+00,3.91794875e+00
488,9.77000000e+00,3.92149926e+00
489,9.79000000e+00,3.92506867e+00
490,9.81000000e+00,3.92866024e+00
491,9.83000000e+00,3.93227832e+00
492,9.85000000e+00,3.93592872e+00
493,9.87000000e+00,3.93961926e+00
494,9.89000000e+00,3.94336046e+00
495,9.91000000e+00,3.94716725e+00
496,9.93000000e+00,3.95106346e+00
497,9.95000000e+00,3.95509740e+00
498,9.97000000e+00,3.95939911e+00
499,9.99000000e+00,3.96439521e+00
